NEIGHBOURHOOD_NAME,ASSAULT_RATE_2024,ROBBERY_RATE_2024,HOMICIDE_RATE_2024
South Eglinton-Davisville,452.505187988281,58.387767791748,0.0
North Toronto,642.344543457031,90.329704284668,0.0
Dovercourt Village,876.680297851563,87.6680297851563,0.0
Junction-Wallace Emerson,713.553894042969,43.9110069274902,0.0
Yonge-Bay Corridor,3355.86669921875,392.322540283203,6.03573131561279
Bay-Cloverhill,533.216796875,78.6713256835938,0.0
Bendale-Glen Andrew,919.615356445313,256.745391845703,9.33619689941406
Downsview,952.860900878906,87.0401763916016,0.0
Oakdale-Beverley Heights,1642.1884765625,145.255004882813,4.03486108779907
Avondale,317.085296630859,74.6083068847656,0.0
East Willowdale,483.417663574219,191.118606567383,0.0
Yonge-Doris,422.650634765625,90.5679931640625,0.0
Fenside-Parkwoods,573.360168457031,47.0668792724609,0.0
Parkwoods-O'Connor Hills,432.481292724609,45.1846122741699,0.0
East L'Amoreaux,334.168762207031,37.5939865112305,4.1771092414856
L'Amoreaux West,484.221069335938,116.880950927734,0.0
Malvern East,484.211975097656,57.9690361022949,0.0
Malvern West,531.009948730469,77.33154296875,0.0
Morningside Heights,459.522521972656,82.5704574584961,0.0
West Rouge,349.403106689453,70.712532043457,0.0
Woburn North,739.441467285156,92.8600921630859,0.0
Golfdale-Cedarbrae-Woburn,623.417114257813,100.655883789063,0.0
Guildwood,334.821441650391,83.7053604125977,0.0
Scarborough Village,837.663024902344,148.44660949707,15.9049940109253
Eglinton East,779.058898925781,132.440017700195,0.0
West Hill,1275.0,140.625,6.25
Morningside,912.123413085938,57.3334732055664,5.21213388442993
Highland Creek,474.769409179688,81.3890380859375,0.0
Centennial Scarborough,335.976348876953,33.5976333618164,0.0
Milliken,430.874389648438,211.722747802734,0.0
Agincourt North,243.213043212891,141.32649230957,6.57332563400269
Agincourt South-Malvern West,597.335510253906,93.9628829956055,0.0
Dorset Park,756.053894042969,94.9632949829102,3.65243434906006
Ionview,761.226318359375,13.9674558639526,6.98372793197632
Kennedy Park,1421.77612304688,135.905075073242,0.0
Cliffcrest,853.158325195313,38.2827453613281,0.0
Birchcliffe-Cliffside,627.254211425781,31.3627090454102,0.0
Downtown Yonge East,2616.9169921875,443.187561035156,8.44166851043701
Church-Wellesley,1356.78210449219,158.537033081055,0.0
St Lawrence-East Bayfront-The Islands,1362.71911621094,91.7214813232422,0.0
Harbourfront-CityPlace,809.692687988281,53.1914901733398,5.91016530990601
Wellington Place,1311.41125488281,103.458885192871,2.7961859703064
Fort York-Liberty Village,756.752380371094,48.3033447265625,0.0
West Queen West,774.321655273438,52.945068359375,0.0
Humber Bay Shores,522.495239257813,31.9081039428711,0.0
Mimico-Queensway,3997.24633789063,45.8926124572754,9.17852210998535
Etobicoke City Centre,797.224731445313,106.741386413574,0.0
Islington,493.871673583984,64.8882446289063,0.0
Bendale South,656.53076171875,86.385627746582,0.0
Caledonia-Fairbank,500.695404052734,46.3606872558594,0.0
Briar Hill-Belgravia,641.254028320313,47.5002975463867,11.8750743865967
Oakwood Village,602.966430664063,66.0182189941406,8.80242919921875
Humewood-Cedarvale,316.619293212891,12.9232358932495,0.0
Lawrence Park North,351.068328857422,66.5819244384766,0.0
Lawrence Park South,183.965347290039,83.0811233520508,5.93436574935913
Forest Hill North,392.009033203125,45.2318115234375,7.53863573074341
Forest Hill South,285.374542236328,55.4894981384277,0.0
Yonge-Eglinton,1171.662109375,108.991828918457,0.0
Mount Pleasant East,278.323516845703,27.2866191864014,0.0
Rosedale-Moore Park,1248.09741210938,104.370513916016,0.0
Yonge-St.Clair,358.633270263672,6.52060508728027,0.0
Casa Loma,426.569152832031,83.7903747558594,0.0
Annex,1250.73120117188,122.56608581543,0.0
Wychwood,649.688171386719,38.9812889099121,0.0
Corso Italia-Davenport,934.910400390625,198.314331054688,7.08265447616577
Weston-Pelham Park,1057.59838867188,65.0829772949219,8.13537216186523
Junction Area,981.732299804688,86.9889373779297,6.21349573135376
Oakridge,1564.68640136719,152.652328491211,12.7210283279419
Clairlea-Birchmount,1213.29699707031,46.0329475402832,0.0
Wexford/Maryvale,1178.89099121094,150.218795776367,3.26562595367432
Tam O'Shanter-Sullivan,373.867309570313,79.2091751098633,0.0
Steeles,193.274063110352,34.7893295288086,0.0
Mount Dennis,914.152160644531,103.099868774414,0.0
Lambton Baby Point,511.746917724609,34.8918342590332,0.0
Weston,1190.6416015625,259.439422607422,23.164234161377
Beechborough-Greenbrook,1256.96508789063,155.500839233398,25.9168071746826
Rockcliffe-Smythe,833.889282226563,45.8639106750488,12.5083389282227
Keelesdale-Eglinton West,681.044250488281,81.0766983032227,0.0
Palmerston-Little Italy,484.550567626953,56.1797752380371,0.0
University,1673.44006347656,227.109725952148,0.0
Kensington-Chinatown,2049.76147460938,266.426025390625,0.0
North St.James Town,1329.26257324219,169.093475341797,4.69704103469849
Moss Park,2053.23193359375,255.789840698242,3.45661950111389
Regent Park,988.852905273438,155.819244384766,11.9860963821411
Cabbagetown-South St.James Town,1088.67150878906,228.778793334961,0.0
South Riverdale,969.731628417969,130.357376098633,0.0
Blake-Jones,735.564575195313,208.409957885742,24.5188179016113
North Riverdale,517.921752929688,73.9888229370117,0.0
Playter Estates-Danforth,1345.23669433594,158.982513427734,0.0
Danforth,1260.97045898438,242.106323242188,0.0
Greenwood-Coxwell,769.971130371094,70.5806884765625,0.0
Woodbine Corridor,786.399047851563,37.4475746154785,0.0
The Beaches,605.670104980469,47.2508583068848,4.29553270339966
East End-Danforth,815.908142089844,127.101272583008,0.0
Taylor-Massey,884.63623046875,96.2869338989258,0.0
Woodbine-Lumsden,618.580749511719,105.042015075684,0.0
Danforth East York,428.547882080078,27.4710178375244,0.0
Old East York,760.456298828125,92.487922668457,0.0
Runnymede-Bloor West Village,454.707550048828,53.4950065612793,8.91583442687988
High Park North,706.523986816406,103.292984008789,0.0
High Park-Swansea,440.211303710938,60.0288124084473,0.0
Roncesvalles,1098.482421875,38.09765625,12.69921875
South Parkdale,1079.17846679688,61.888370513916,3.86802315711975
Little Portugal,875.0,136.363632202148,0.0
Dufferin Grove,1433.52233886719,141.776931762695,15.7529926300049
Trinity-Bellwoods,1038.14306640625,46.6581115722656,0.0
Don Valley Village,588.197082519531,123.488883972168,0.0
Pleasant View,300.58349609375,53.0441436767578,5.89379405975342
Flemingdon Park,596.718078613281,22.9506950378418,0.0
Victoria Village,584.251098632813,36.1925430297852,0.0
Banbury-Don Mills,413.623168945313,58.6699523925781,5.86699533462524
Bridle Path-Sunnybrook-York Mills,329.570739746094,115.349754333496,0.0
St.Andrew-Windfields,482.553833007813,127.266944885254,0.0
Bedford Park-Nortown,298.792877197266,167.324005126953,0.0
Lansing-Westgate,547.585144042969,131.420440673828,5.47585153579712
Willowdale West,536.672607421875,104.353012084961,0.0
Newtonbrook West,868.816223144531,153.540802001953,0.0
Westminster-Branson,464.158569335938,34.8991432189941,0.0
Bathurst Manor,798.676452636719,34.2289924621582,0.0
Clanton Park,653.40771484375,85.8491897583008,4.76939964294434
Englemount-Lawrence,474.414093017578,64.8771362304688,8.10964202880859
Yorkdale-Glen Park,1016.916015625,332.453308105469,4.88901948928833
Brookhaven-Amesbury,700.669738769531,97.8876876831055,5.15198373794556
Maple Leaf,410.787628173828,17.8603324890137,0.0
Rustic,999.537231445313,111.059692382813,9.25497436523438
York University Heights,1304.25354003906,223.055236816406,3.097989320755
Glenfield-Jane Heights,1118.52014160156,89.1128692626953,0.0
Broadview North,758.839233398438,41.6944618225098,8.33889293670654
Leaside-Bennington,138.966094970703,27.7932186126709,0.0
Thorncliffe Park,625.485290527344,38.8232231140137,0.0
O'Connor-Parkview,657.863403320313,28.6027545928955,0.0
Henry Farm,451.298950195313,11.7730159759521,0.0
Bayview Village,426.567016601563,112.811111450195,0.0
Newtonbrook East,576.891357421875,148.343490600586,0.0
Bayview Woods-Steeles,339.414520263672,28.2845420837402,0.0
Hillcrest Village,364.676849365234,157.091567993164,5.61041307449341
Alderwood,356.467346191406,7.27484369277954,14.5496873855591
Long Branch,606.776977539063,39.4011039733887,7.88022041320801
New Toronto,1312.77185058594,55.3578491210938,7.90826416015625
Stonegate-Queensway,490.605438232422,38.2741813659668,0.0
Kingsway South,474.871398925781,69.2520751953125,0.0
Etobicoke West Mall,430.0478515625,20.8087673187256,6.93625593185425
Markland Wood,438.673461914063,43.8673439025879,0.0
Eringate-Centennial-West Deane,432.241271972656,29.4709949493408,0.0
Princess-Rosethorn,315.821899414063,7.70297336578369,7.70297336578369
Edenbridge-Humber Valley,380.605651855469,11.0320482254028,0.0
Humber Heights-Westmount,478.591583251953,111.101615905762,0.0
Willowridge-Martingrove-Richview,425.805419921875,48.2043876647949,0.0
Kingsview Village-The Westway,611.774536132813,79.614501953125,0.0
Elms-Old Rexdale,856.973999023438,206.85578918457,0.0
Rexdale-Kipling,825.792846679688,219.625762939453,8.78503036499023
Thistletown-Beaumond Heights,705.546142578125,80.3786697387695,0.0
Mount Olive-Silverstone-Jamestown,970.068115234375,123.046989440918,5.72311544418335
West Humber-Clairville,926.342529296875,169.38835144043,2.64669299125671
Black Creek,1154.61413574219,125.878982543945,13.0219640731812
Pelmo Park-Humberlea,785.854614257813,62.8683700561523,15.7170925140381
Humbermede,973.595703125,96.8498306274414,0.0
Humber Summit,988.198486328125,184.842880249023,0.0
