Address,Beds,Price,Price_per_bed
"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",2,2450.0,1225.0
"361 Front St W, Toronto, ON M5V 3R5, Canada",1,2150.0,2150.0
"89 McGill Street, Toronto, ON, M5B 0B1",1,1950.0,1950.0
"10 York Street, Toronto, ON, M5J 0E1",2,2900.0,1450.0
"80 St Patrick St, Toronto, ON M5T 2X6, Canada",1,1800.0,1800.0
"87 Jameson Avenue, Toronto, ON, M6K 2W8",1,1729.0,1729.0
"700  Ross Street, Burlington, ON, L7S 1S2",2,1685.0,842.5
"25 Telegram Mews, Toronto, ON, M5V 3Z2",1,1900.0,1900.0
"560 Front St W, toronto, ON, M5V 0L5",1,1900.0,1900.0
"70 Queens Wharf Rd 33rd Floor, Toronto, ON M5V 0J2, Canada",1,2400.0,2400.0
"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",1,1750.0,1750.0
"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",2,2000.0,1000.0
"555 Yonge St, Toronto, ON M4Y 3A6, Canada",1,2200.0,2200.0
"M5J, Canada",1,2350.0,2350.0
"295 Adelaide St W, Toronto, ON M5V 0L4, Canada",1,2650.0,2650.0
"191 - 201 Sherbourne, Toronto, ON, M5A 3X2",1,1799.0,1799.0
"191 - 201 Sherbourne, Toronto, ON, M5A 3X2",1,1899.0,1899.0
"89 McGill Street, Toronto, ON, M5B 0B1",1,1950.0,1950.0
"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",2,2450.0,1225.0
"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",2,3150.0,1575.0
"12 Yonge St, Toronto, ON M5E 1Z9, Canada",2,3200.0,1600.0
"438 Richmond St W, Toronto, ON M5V 1X9, Canada",1,2500.0,2500.0
"12 York St, Toronto, ON M5J 2Z2, Canada",1,2400.0,2400.0
"7934 Kipling Ave, Woodbridge, ON L4L 1Z5, Canada",1,1750.0,1750.0
"York St, Toronto, ON M5J 2Z2, Canada",2,3100.0,1550.0
"10 Park Lawn Rd, Etobicoke, ON M8Y 3K4, Canada",2,2999.0,1499.5
", Toronto M3H4Z2 ON, Canada",1,1250.0,1250.0
"33 Gamble Ave, East York, ON M4K 2H5, Canada",1,1825.0,1825.0
"9 George St N, Brampton, ON L6X 0T6, Canada",1,1900.0,1900.0
"33 Gamble Ave, East York, ON M4K 2H5, Canada",2,2245.0,1122.5
"10 York Street, Toronto, ON, M5J 0E1",1,2200.0,2200.0
"80 St Patrick St, Toronto, ON M5T 2X6, Canada",1,1800.0,1800.0
"10 York Street, Toronto, ON, M5J 0E1",1,2200.0,2200.0
"10 York Street, Toronto, ON, M5J 0E1",2,2900.0,1450.0
"126 Simcoe str, Toronto Downtown M5V 1T8 ON",1,2299.0,2299.0
"89 McGill Street, Toronto, ON, M5B 0B1",1,1950.0,1950.0
"89 McGill Street, Toronto, ON, M5B 0B1",1,1950.0,1950.0
"10 York Street, Toronto, ON, M5J 0E1",2,2900.0,1450.0
"28 Linden Street, Toronto, ON, M4Y 0A4",1,1950.0,1950.0
"832 Bay St, Toronto, ON M5S 1Z6, Canada",1,2250.0,2250.0
"1375 Stephenson Dr Unit 24, Burlington, ON L7S 2M5, Canada",2,2000.0,1000.0
"70 Temperance St, Toronto, ON M5H 0B1, Canada",2,2800.0,1400.0
"70 Temperance St, Toronto, ON M5H 0B1, Canada",1,1900.0,1900.0
"70 Temperance St, Toronto, ON M5H 0B1, Canada",1,1900.0,1900.0
"Downtown Port Credit, Mississauga, ON, L5G 1G4",1,1727.0,1727.0
"200 Dufferin Street, Toronto, ON, M6K 1Z4",2,2230.0,1115.0
"392 Sherbourne Street, Toronto, ON, M4X 1K3",1,1785.0,1785.0
"392 Sherbourne Street, Toronto, ON, M4X 1K3",1,1535.0,1535.0
"10 York Street, Toronto, ON, M5J 0E1",2,2900.0,1450.0
"80 St Patrick St, Toronto, ON M5T 2X6, Canada",1,1800.0,1800.0
"12 Yonge St, Toronto, ON M5E 1Z9, Canada",2,3200.0,1600.0
"290 Adelaide St W, Toronto, ON M5V 1P6, Canada",2,2350.0,1175.0
"200 Dufferin Street, Toronto, ON, M6K 1Z4",1,1475.0,1475.0
"36 Maitland Street, Toronto, ON, M4Y 1C5",1,1815.0,1815.0
"200 Dufferin Street, Toronto, ON, M6K 1Z4",1,1755.0,1755.0
"15 Merchants Wharf, Toronto, ON, M5A 0N8",1,2450.0,2450.0
"105 George St, Toronto, ON M5A 0L4, Canada",1,2200.0,2200.0
"Dunlop St E, Whitby, ON L1N, Canada",2,1350.0,675.0
"224 King St W, Toronto, ON, M5H 0A6",1,2400.0,2400.0
"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",1,2424.0,2424.0
"565 Sherbourne Street, Toronto, ON, M4X 1W5",1,1700.0,1700.0
"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",1,1400.0,1400.0
"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",1,1700.0,1700.0
"171 Main Street North, Brampton, ON, L6X 0H4",1,1500.0,1500.0
"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",2,2450.0,1225.0
"126 Simcoe str, Toronto Downtown M5V 1T8 ON",1,2299.0,2299.0
"12 Yonge St, Toronto, ON M5E 1Z9, Canada",2,3200.0,1600.0
"318 Richmond St W, Toronto, ON M5V 0B4, Canada",1,2550.0,2550.0
"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",2,3150.0,1575.0
"171 Main Street North, Brampton, ON, L6X 0H4",2,1775.0,887.5
"Enterprise Blvd, Markham, ON, Canada",1,1750.0,1750.0
"100 Harbour St, Toronto, ON M5J 1B7, Canada",1,1830.0,1830.0
"28 Wellesley Street East, M4Y 0C4, Toronto, ON",1,2000.0,2000.0
"2548 Eglinton Ave W, M6M 1T1, Toronto, ON",2,1850.0,925.0
"101 Sheridan Ave, Toronto, ON M6K 2G8, Canada",2,1300.0,650.0
"33 Bay St, Toronto, ON M5J 2Z3, Canada",1,2275.0,2275.0
"Port Hope, ON, Canada",2,1595.0,797.5
"10 Capreol Ct, Toronto, ON M5V 4B3, Canada",1,2500.0,2500.0
"235 Sherway Gardens Rd, Etobicoke, ON M9C 0A2, Canada",2,2380.0,1190.0
"14 York St, Toronto, ON M5J 0B1, Canada",1,2000.0,2000.0
"295 Dufferin St., Toronto, ON, M6K 1Z6",2,2574.0,1287.0
"295 Dufferin St., Toronto, ON, M6K 1Z6",2,2591.0,1295.5
"51 Guestville Ave, York, ON M6N 4N1, Canada",1,1295.0,1295.0
"89 Chestnut St, Toronto, ON M5G 1R1, Canada",1,550.0,550.0
"Front St W, Toronto, ON M5V 3S8, Canada",2,3200.0,1600.0
"290 Adelaide St W, Toronto, ON M5V 1P6, Canada",2,2350.0,1175.0
"10 York Street, Toronto, ON, M5J 0E1",2,2900.0,1450.0
"10 York Street, Toronto, ON, M5J 0E1",1,2200.0,2200.0
"80 St Patrick St, Toronto, ON M5T 2X6, Canada",1,1800.0,1800.0
"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",2,2450.0,1225.0
"220 Victoria St, Toronto, ON M5B 2R6, Canada",2,3099.0,1549.5
"28 Wellesley St E, Toronto, ON M4Y, Canada",2,3700.0,1850.0
"Temperance St, Toronto, ON M5H 0B1, Canada",2,3000.0,1500.0
", Toronto M5J 0B8 ON, Canada",2,1500.0,750.0
"170 Bayview Ave, Toronto, ON M5A 0G4, Canada",2,2999.0,1499.5
"125 Western Battey st, M6k 3s2, Toronto, ON",1,2100.0,2100.0
"2386  New Street, Burlington, ON, L7R 1J7",2,1775.0,887.5
"2304  Weston Road, Toronto, ON, M9N 1Z3",3,2050.0,683.3333333333334
"2304  Weston Road, Toronto, ON, M9N 1Z3",1,1525.0,1525.0
"2304  Weston Road, Toronto, ON, M9N 1Z3",2,1799.0,899.5
"1275  Brant St, Burlington, ON, L7P 1X7",2,1875.0,937.5
"700  Ross Street, Burlington, ON, L7S 1S2",2,1625.0,812.5
"361 Front St W, Toronto, ON M5V 3R5, Canada",1,2150.0,2150.0
"80 St Patrick St, Toronto, ON M5T 2X6, Canada",1,1800.0,1800.0
"10 York Street, Toronto, ON, M5J 0E1",1,2200.0,2200.0
"126 Simcoe str, Toronto Downtown M5V 1T8 ON",1,2299.0,2299.0
"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",2,2450.0,1225.0
"50 Charles St E, Toronto, ON M4Y 1T1, Canada",1,2000.0,2000.0
"87 Peter St, Toronto, ON M5V 0P1, Canada",1,2100.0,2100.0
"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",2,2300.0,1150.0
"120 Homewood Ave, Toronto, ON M4Y 1J3, Canada",2,4100.0,2050.0
", M5G2E8, Toronto, ON",1,1200.0,1200.0
"m1s0l7, Canada",2,2184.0,1092.0
"2155 Burnhamthorpe Rd W, Mississauga, ON L5L 5P4, Canada",2,2350.0,1175.0
"3525 Kariya Dr, Mississauga, ON L5B 0C1, Canada",1,1900.0,1900.0
"M4L1G3, Canada",1,1100.0,1100.0
"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",2,2450.0,1225.0
"126 Simcoe str, Toronto Downtown M5V 1T8 ON",1,2299.0,2299.0
"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",2,3150.0,1575.0
"361 Front St W, Toronto, ON M5V 3R5, Canada",1,2150.0,2150.0
"Water Walk Dr, Markham, ON L3R, Canada",1,1800.0,1800.0
"52 Sumach St, Toronto, ON M5A 3J7, Canada",1,3200.0,3200.0
"12 York St, Toronto, ON M5J 2Z2, Canada",1,2400.0,2400.0
", DOWNTOWN M5V 4A9 ON, Canada",1,2100.0,2100.0
"460 Adelaide St E, Toronto, ON, M4V 1K6",1,2480.0,2480.0
"1 The Esplanade, Toronto, ON, M5E 0A8",1,3000.0,3000.0
"560 King St W, Toronto, ON, M4V 1K6",1,2250.0,2250.0
"290 Adelaide Street West, Toronto, ON, M5V 1P6",1,1850.0,1850.0
"2386  New Street, Burlington, ON, L7R 1J7",2,1750.0,875.0
"101 Charles St, TORONTO, ON, M4Y 1V2",1,535000.0,535000.0
"700  Ross Street, Burlington, ON, L7S 1S2",2,1675.0,837.5
"1 The Esplanade, Toronto, ON, M5E 0A8",2,3400.0,1700.0
"1 SHAW ST, TORONTO, ON, M6K 0A1",1,2180.0,2180.0
"The Uptown Residences, 35 Balmuto St, Toronto, ON M4Y 0A3, Canada",1,2550.0,2550.0
", L3R9X3, markham, ON",1,1900.0,1900.0
", L6G0G3, markham, ON",1,1800.0,1800.0
"70 Queens Wharf Rd, Toronto, ON M5V 0E4, Canada",1,2300.0,2300.0
"365 Church St, Toronto, ON M5B 1Z9, Canada",1,2250.0,2250.0
"12 Yonge St, Toronto, ON M5E 1Z9, Canada",2,3200.0,1600.0
"10 York Street, Toronto, ON, M5J 0E1",1,2200.0,2200.0
"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",2,2450.0,1225.0
"126 Simcoe str, Toronto Downtown M5V 1T8 ON",1,2299.0,2299.0
"318 Richmond St W, Toronto, ON M5V 0B4, Canada",1,2550.0,2550.0
"88 Scott St, Toronto, ON M5E 1X6, Canada",1,1900.0,1900.0
"28 Church St W, Acton, ON L7J 1X4, Canada",1,1175.0,1175.0
"8081 Birchmount Rd, Markham, ON L6G 1B3, Canada",2,2300.0,1150.0
"255 Richmond St E, Toronto, ON M5A 4T7, Canada",1,2000.0,2000.0
"1512 Dufferin Street, M6H3L4, Toronto, ON",1,1650.0,1650.0
"170 Sudbury St, Toronto, ON M6J 0A9, Canada",2,2889.0,1444.5
"89 McGill St, Toronto, ON M5B 1H3, Canada",2,2800.0,1400.0
"# Dundas st w, Denison ave and Dundas st w M5T 2N3 ON, Canada",1,1300.0,1300.0
"211 Simcoe St S, Oshawa, ON L1H 4H2, Canada",2,1250.0,625.0
"M6J1T8, Canada",1,1300.0,1300.0
"2386  New Street, Burlington, ON, L7R 1J7",2,1750.0,875.0
"70 Queens Wharf Rd, Toronto, ON M5V 0J2, Canada",1,2400.0,2400.0
"89 McGill St, Toronto, ON M5B 1H3, Canada",1,2000.0,2000.0
"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",2,2450.0,1225.0
"126 Simcoe str, Toronto Downtown M5V 1T8 ON",1,2299.0,2299.0
"89 McGill Street, Toronto, ON, M5B 0B1",1,1950.0,1950.0
"10 York Street, Toronto, ON, M5J 0E1",2,2900.0,1450.0
"28 Linden Street, Toronto, ON, M4Y 0A4",1,1950.0,1950.0
"832 Bay St, Toronto, ON M5S 1Z6, Canada",1,2250.0,2250.0
"1375 Stephenson Dr Unit 24, Burlington, ON L7S 2M5, Canada",2,2000.0,1000.0
"70 Temperance St, Toronto, ON M5H 0B1, Canada",2,2800.0,1400.0
"70 Temperance St, Toronto, ON M5H 0B1, Canada",1,1900.0,1900.0
"70 Temperance St, Toronto, ON M5H 0B1, Canada",1,1900.0,1900.0
"Downtown Port Credit, Mississauga, ON, L5G 1G4",1,1727.0,1727.0
"200 Dufferin Street, Toronto, ON, M6K 1Z4",2,2230.0,1115.0
"392 Sherbourne Street, Toronto, ON, M4X 1K3",1,1785.0,1785.0
"392 Sherbourne Street, Toronto, ON, M4X 1K3",1,1535.0,1535.0
"10 York Street, Toronto, ON, M5J 0E1",2,2900.0,1450.0
"80 St Patrick St, Toronto, ON M5T 2X6, Canada",1,1800.0,1800.0
"12 Yonge St, Toronto, ON M5E 1Z9, Canada",2,3200.0,1600.0
"290 Adelaide St W, Toronto, ON M5V 1P6, Canada",2,2350.0,1175.0
"200 Dufferin Street, Toronto, ON, M6K 1Z4",1,1475.0,1475.0
"36 Maitland Street, Toronto, ON, M4Y 1C5",1,1815.0,1815.0
"200 Dufferin Street, Toronto, ON, M6K 1Z4",1,1755.0,1755.0
"15 Merchants Wharf, Toronto, ON, M5A 0N8",1,2450.0,2450.0
"105 George St, Toronto, ON M5A 0L4, Canada",1,2200.0,2200.0
"Dunlop St E, Whitby, ON L1N, Canada",2,1350.0,675.0
"224 King St W, Toronto, ON, M5H 0A6",1,2400.0,2400.0
"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",1,2424.0,2424.0
"565 Sherbourne Street, Toronto, ON, M4X 1W5",1,1700.0,1700.0
"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",1,1400.0,1400.0
"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",1,1700.0,1700.0
"171 Main Street North, Brampton, ON, L6X 0H4",1,1500.0,1500.0
"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",2,2450.0,1225.0
"126 Simcoe str, Toronto Downtown M5V 1T8 ON",1,2299.0,2299.0
"318 Richmond St W, Toronto, ON M5V 0B4, Canada",1,2550.0,2550.0
"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",2,3150.0,1575.0
"171 Main Street North, Brampton, ON, L6X 0H4",2,1775.0,887.5
"Enterprise Blvd, Markham, ON, Canada",1,1750.0,1750.0
"100 Harbour St, Toronto, ON M5J 1B7, Canada",1,1830.0,1830.0
"28 Wellesley Street East, M4Y 0C4, Toronto, ON",1,2000.0,2000.0
"2548 Eglinton Ave W, M6M 1T1, Toronto, ON",2,1850.0,925.0
"101 Sheridan Ave, Toronto, ON M6K 2G8, Canada",2,1300.0,650.0
"33 Bay St, Toronto, ON M5J 2Z3, Canada",1,2275.0,2275.0
"Port Hope, ON, Canada",2,1595.0,797.5
"10 Capreol Ct, Toronto, ON M5V 4B3, Canada",1,2500.0,2500.0
"235 Sherway Gardens Rd, Etobicoke, ON M9C 0A2, Canada",2,2380.0,1190.0
"14 York St, Toronto, ON M5J 0B1, Canada",1,2000.0,2000.0
"295 Dufferin St., Toronto, ON, M6K 1Z6",2,2574.0,1287.0
"295 Dufferin St., Toronto, ON, M6K 1Z6",2,2591.0,1295.5
"51 Guestville Ave, York, ON M6N 4N1, Canada",1,1295.0,1295.0
"89 Chestnut St, Toronto, ON M5G 1R1, Canada",1,550.0,550.0
"Front St W, Toronto, ON M5V 3S8, Canada",2,3200.0,1600.0
"10 York Street, Toronto, ON, M5J 0E1",1,2200.0,2200.0
"220 Victoria St, Toronto, ON M5B 2R6, Canada",2,3099.0,1549.5
"28 Wellesley St E, Toronto, ON M4Y, Canada",2,3700.0,1850.0
"Temperance St, Toronto, ON M5H 0B1, Canada",2,3000.0,1500.0
", Toronto M5J 0B8 ON, Canada",2,1500.0,750.0
"170 Bayview Ave, Toronto, ON M5A 0G4, Canada",2,2999.0,1499.5
"125 Western Battey st, M6k 3s2, Toronto, ON",1,2100.0,2100.0
"2386  New Street, Burlington, ON, L7R 1J7",2,1775.0,887.5
"2304  Weston Road, Toronto, ON, M9N 1Z3",3,2050.0,683.3333333333334
"2304  Weston Road, Toronto, ON, M9N 1Z3",1,1525.0,1525.0
"2304  Weston Road, Toronto, ON, M9N 1Z3",2,1799.0,899.5
"1275  Brant St, Burlington, ON, L7P 1X7",2,1875.0,937.5
"700  Ross Street, Burlington, ON, L7S 1S2",2,1625.0,812.5
"361 Front St W, Toronto, ON M5V 3R5, Canada",1,2150.0,2150.0
"50 Charles St E, Toronto, ON M4Y 1T1, Canada",1,2000.0,2000.0
"87 Peter St, Toronto, ON M5V 0P1, Canada",1,2100.0,2100.0
"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",2,2300.0,1150.0
"120 Homewood Ave, Toronto, ON M4Y 1J3, Canada",2,4100.0,2050.0
", M5G2E8, Toronto, ON",1,1200.0,1200.0
"m1s0l7, Canada",2,2184.0,1092.0
"2155 Burnhamthorpe Rd W, Mississauga, ON L5L 5P4, Canada",2,2350.0,1175.0
"3525 Kariya Dr, Mississauga, ON L5B 0C1, Canada",1,1900.0,1900.0
"M4L1G3, Canada",1,1100.0,1100.0
"Water Walk Dr, Markham, ON L3R, Canada",1,1800.0,1800.0
"52 Sumach St, Toronto, ON M5A 3J7, Canada",1,3200.0,3200.0
"12 York St, Toronto, ON M5J 2Z2, Canada",1,2400.0,2400.0
", DOWNTOWN M5V 4A9 ON, Canada",1,2100.0,2100.0
"460 Adelaide St E, Toronto, ON, M4V 1K6",1,2480.0,2480.0
"1 The Esplanade, Toronto, ON, M5E 0A8",1,3000.0,3000.0
"560 King St W, Toronto, ON, M4V 1K6",1,2250.0,2250.0
"290 Adelaide Street West, Toronto, ON, M5V 1P6",1,1850.0,1850.0
"2386  New Street, Burlington, ON, L7R 1J7",2,1750.0,875.0
"101 Charles St, TORONTO, ON, M4Y 1V2",1,535000.0,535000.0
"700  Ross Street, Burlington, ON, L7S 1S2",2,1675.0,837.5
"1 The Esplanade, Toronto, ON, M5E 0A8",2,3400.0,1700.0
"1 SHAW ST, TORONTO, ON, M6K 0A1",1,2180.0,2180.0
"The Uptown Residences, 35 Balmuto St, Toronto, ON M4Y 0A3, Canada",1,2550.0,2550.0
", L3R9X3, markham, ON",1,1900.0,1900.0
", L6G0G3, markham, ON",1,1800.0,1800.0
"70 Queens Wharf Rd, Toronto, ON M5V 0E4, Canada",1,2300.0,2300.0
"365 Church St, Toronto, ON M5B 1Z9, Canada",1,2250.0,2250.0
"88 Scott St, Toronto, ON M5E 1X6, Canada",1,1900.0,1900.0
"28 Church St W, Acton, ON L7J 1X4, Canada",1,1175.0,1175.0
"8081 Birchmount Rd, Markham, ON L6G 1B3, Canada",2,2300.0,1150.0
"255 Richmond St E, Toronto, ON M5A 4T7, Canada",1,2000.0,2000.0
"1512 Dufferin Street, M6H3L4, Toronto, ON",1,1650.0,1650.0
"170 Sudbury St, Toronto, ON M6J 0A9, Canada",2,2889.0,1444.5
"89 McGill St, Toronto, ON M5B 1H3, Canada",2,2800.0,1400.0
"# Dundas st w, Denison ave and Dundas st w M5T 2N3 ON, Canada",1,1300.0,1300.0
"211 Simcoe St S, Oshawa, ON L1H 4H2, Canada",2,1250.0,625.0
"M6J1T8, Canada",1,1300.0,1300.0
"2386  New Street, Burlington, ON, L7R 1J7",2,1750.0,875.0
"70 Queens Wharf Rd, Toronto, ON M5V 0J2, Canada",1,2400.0,2400.0
"89 McGill St, Toronto, ON M5B 1H3, Canada",1,2000.0,2000.0
"89 McGill Street, Toronto, ON, M5B 0B1",1,1950.0,1950.0
"424 Yonge Street, Toronto, ON, M5B 2H3",1,2450.0,2450.0
"424 Yonge Street, Toronto, ON, M5B 2H3",2,3450.0,1725.0
"386 Yonge St, Toronto, ON M5G 2K2, Canada",1,2350.0,2350.0
", toronto M5B1E4 ON, Canada",2,2900.0,1450.0
", Mississauga L5B 0G6 ON, Canada",1,2200.0,2200.0
"87 PETER ST, M5V0P1, TORONTO, ON",1,1850.0,1850.0
", Mississauga  L5H3B2 ON, Canada",1,2150.0,2150.0
"120 Bayview Ave., M5A 0G4, Toronto, ON",1,1900.0,1900.0
"51 E Liberty St, Toronto M6K 3P8 ON",1,2200.0,2200.0
"M5B0A5, Canada",3,4000.0,1333.3333333333333
", M5V 2G4, Toronto, ON",3,3200.0,1066.6666666666667
"300 Front St W, M5E 0E9, Toronto, ON",1,2500.0,2500.0
